house_size,latitude,longitude,numBathrooms,numBalconies,SecurityDeposit,numBalconies_nan,numBathrooms_nan,verification_years,verification_days,verification_months,verification_hours,Status_Furnished,Status_Semi-Furnished,Status_Unfurnished,house_type_cleaned_Apartment,house_type_cleaned_Independent Floor,house_type_cleaned_Independent House,house_type_cleaned_Villa
906.0,18.6058197,73.91240692,2.0,0.0,0.0,1,0,3,0,0,0,0,0,1,1,0,0,0
650.0,18.47437668,73.82054901,1.0,0.0,0.0,1,0,2,0,0,0,0,1,0,1,0,0,0
350.0,18.58033562,73.9805069,1.0,0.0,0.0,1,0,2,0,0,0,0,0,1,1,0,0,0
1500.0,18.54178619,73.88245392,2.0,0.0,0.0,1,0,3,0,0,0,1,0,0,1,0,0,0
1842.5,18.5601635,73.92492676,3.5,0.0,0.0,1,0,3,0,0,0,0,0,1,0,0,1,0
975.0,18.64037323,73.73686218,2.0,0.0,0.0,1,0,3,0,0,0,0,1,0,1,0,0,0
540.0,18.57936478,73.73588562,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0
800.0,18.57242584,73.9076767,2.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0
1050.0,18.44660759,73.90554047,2.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0
1050.0,18.56818581,73.79068756,2.0,0.0,0.0,1,0,0,16,0,0,0,1,0,1,0,0,0
700.0,18.55333519,73.94477844,1.0,0.0,0.0,1,0,0,14,0,0,0,0,1,1,0,0,0
1842.5,18.62474632,73.73732758,3.5,0.0,0.0,1,0,0,13,0,0,0,1,0,1,0,0,0
1280.0,18.60659409,73.90982056,3.0,0.0,0.0,1,0,0,11,0,0,0,1,0,1,0,0,0
1630.0,18.47053337,73.91357422,3.0,0.0,0.0,1,0,0,4,0,0,0,1,0,1,0,0,0
1842.5,18.4641552,73.90855408,3.5,0.0,0.0,1,0,0,9,0,0,0,1,0,1,0,0,0
1333.0,18.51470566,73.77187347,3.0,0.0,0.0,1,0,0,0,0,8,0,1,0,1,0,0,0
1500.0,18.57761574,73.77683258,3.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0
1842.5,18.5135746,73.76791382,3.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0
550.0,18.55271912,73.92081451,1.0,0.0,0.0,1,0,0,4,0,0,0,1,0,1,0,0,0
600.0,18.57625198,73.78787231,1.0,0.0,0.0,1,0,0,7,0,0,0,0,1,1,0,0,0
1354.0,18.65039825,73.79167938,3.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0
1200.0,18.51910019,73.9276123,2.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0
950.0,18.48172569,73.86858368,2.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0
350.0,18.49023247,73.819664,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0
1400.0,18.56738091,73.78688049,3.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0
1842.5,18.51603508,73.90481567,3.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0
900.0,18.45897293,73.78629303,2.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0
1842.5,18.54000092,73.90000153,3.5,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0
1400.0,18.55271912,73.94644165,3.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0
750.0,18.66391754,73.70794678,1.0,0.0,0.0,1,0,0,12,0,0,0,1,0,1,0,0,0
900.0,18.60011864,73.72468567,2.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0
610.0,18.63496017,73.7894516,1.0,0.0,0.0,1,0,0,0,2,0,0,1,0,1,0,0,0
550.0,18.56578255,73.8832016,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0
1842.5,18.58267593,73.97707367,3.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1
300.0,18.63115883,73.79122162,2.0,0.0,0.0,1,0,0,10,0,0,1,0,0,0,0,1,0
